Relacion,Tabla_Origen,Campo_Origen,Tabla_Destino,Campo_Destino
FK_01,Eventos_Reciclaje,Id_Estudiante,Perfiles,Id_Estudiante
FK_02,Eventos_Turnos,Id_Servicio,Servicios_Turnos,Id_Servicio
FK_03,Eventos_Turnos,Id_Turno,Turnos,Id_Turno
FK_04,Roles_Monitores,Id_Servicio,Servicios_Turnos,Id_Servicio
FK_05,Reactivaciones_Turnos,Id_Servicio,Servicios_Turnos,Id_Servicio
FK_06,Reactivaciones_Turnos,Id_Turno,Turnos,Id_Turno
FK_07,Turnos,Id_Servicio,Servicios_Turnos,Id_Servicio
FK_08,Recompensas_Tokens,Id_Evento_Reciclaje,Eventos_Reciclaje,Id_Evento_Reciclaje
FK_09,Recompensas_Tokens,Id_Estudiante,Perfiles,Id_Estudiante
FK_10,Perfiles,Id_Estudiante,Estudiantes_Registrados,Id_Estudiante
FK_11,Roles_Monitores,Id_Estudiante,Estudiantes_Registrados,Id_Estudiante
FK_12,Turnos,Id_Estudiante,Estudiantes_Registrados,Id_Estudiante
FK_13,Reactivaciones_Turnos,Id_Estudiante,Estudiantes_Registrados,Id_Estudiante
FK_14,Eventos_Turnos,Id_Usuario_Actor,Estudiantes_Registrados,Id_Estudiante
FK_15,Datos_Estudiantiles,Id_Estudiante,Estudiantes_Registrados,Id_Estudiante
FK_16,Notificaciones,Id_Estudiante,Estudiantes_Registrados,Id_Estudiante
